name,city,state,zip,address,regulator,type,website,rssd
Friends Bank,New Smyrna Beach,FL,32168,2222 State Road 44,fdic,bank,www.friendsbank.com,2.911856e+06
Frontier Bank,Lamar,CO,81052,200 South Main,fdic,bank,http://www.frontierbankco.com,191355
Frontier Bank,Omaha,NE,68118,"17002 Marcy St., Suite 120",fdic,bank,www.frontbank.com,33857
Frontier Bank,Sioux Falls,SD,57104,101 South Phillips Avenue,fdic,bank,,2.218443e+06
Frontier Bank of Texas,Elgin,TX,78621,1213 Highway 290,fdic,bank,https://frontierbankoftexas.com,3.472046e+06
Frontier Community Bank,Waynesboro,VA,22980,400 Lou Dewitt Boulevard,fdic,bank,,3.627109e+06
Frontier State Bank,Oklahoma City,OK,73129,5100 S. I-35 Service Road,fdic,bank,http://www.frontier-ok.com,632858
Frost  Bank,San Antonio,TX,78205,100 West Houston Street,fdic,bank,http://www.frostbank.com,682563
Frost State Bank,Frost,MN,56033,205 Main St,fdic,bank,,943853
"FSNB, National Association",Lawton,OK,73501,1420 Southwest Lee Blvd,fdic,bank,www.fsnb.com,125154
"Fulton Bank, National Association",Lancaster,PA,17604,"One Penn Square, P.O. Box 48",fdic,bank,www.fultonbank.com,474919
Fulton Savings Bank,Fulton,NY,13069,75 South First Street,fdic,bank,,900502
FVCbank,Fairfax,VA,22030,11325 Random Hills Road,fdic,bank,,3.614976e+06
G. W. Jones Exchange Bank,Marcellus,MI,49067,119-21 West Main Street,fdic,bank,,540542
Galion Building and Loan Bank,Galion,OH,44833,135 South Market Street,fdic,bank,,24378
Garden Plain State Bank,Wichita,KS,67209,10526 West Maple Street,fdic,bank,,987651
Garfield County Bank,Jordan,MT,59337,444 Main Street,fdic,bank,,608358
Garrison State Bank and Trust,Garrison,ND,58540,102 North Main Street,fdic,bank,,808653
Gate City Bank,Fargo,ND,58102,500 Second Avenue North,fdic,bank,www.gatecity.bank,657271
Gates Banking and Trust Company,Gates,TN,38037,Wardlaw And Third Streets,fdic,bank,www.gatesbank.com,136459
Gateway Bank,Mendota Heights,MN,55118,745 Market Street,fdic,bank,www.gateway-banking.com,3.223417e+06
Gateway Bank,Rison,AR,71665,112 Main Street,fdic,bank,www.gatewaybank.bank,733540
"Gateway Bank, F.S.B.",Oakland,CA,94607,360 Eighth Street,fdic,bank,,1.493319e+06
Gateway Commercial Bank,Mesa,AZ,85212,6860 East Warner Road,fdic,bank,www.gcbaz.com,3.667132e+06
Gateway First Bank,Jenks,OK,74037,244 South Gateway Place,fdic,bank,www.gatewayfirst.com,3.851427e+06
GBC International Bank,Los Angeles,CA,90036,"5670 Wilshire Blvd, # 1780",fdic,bank,,972769
Geauga Savings Bank,Newbury,OH,44065,10800 Kinsman Road,fdic,bank,,291273
Geddes Federal Savings and Loan Association,Syracuse,NY,13219,2208 West Genesee St,fdic,bank,www.geddesfederal.com,451273
Generations Bank,Exeter,NE,68351,139 South Exeter Avenue,fdic,bank,,1.016558e+06
Generations Bank,Seneca Falls,NY,13148,19 Cayuga Street,fdic,bank,www.mygenbank.com,442011
Generations Bank,Rogers,AR,72758,"3710 Southern Hills Blvd, #",fdic,bank,,329345
Generations Commercial Bank,Seneca Falls,NY,13148,19 Cayuga Street,fdic,bank,,5.336928e+06
Genesee Regional Bank,Rochester,NY,14618,1850 South Winton Rd,fdic,bank,,852704
Genoa Community Bank,Genoa,NE,68640,Willard Ave. & Oak St.,fdic,bank,,2750
Georgia Banking Company,Atlanta,GA,30339,6190 Powers Ferry Road,fdic,bank,http://www.geobanking.com,3.016347e+06
Georgia Primary Bank,Atlanta,GA,30342,"3880 Roswell Road, Ne",fdic,bank,,3.646397e+06
German American Bank,Jasper,IN,47546,711 Main Street,fdic,bank,http://www.germanamerican.com,37640
German-American State Bank,German Valley,IL,61039,100 Church Street,fdic,bank,http://www.germanamericanstatebank.com,556936
Germantown Trust & Savings Bank,Breese,IL,62230,205 Germantown Road,fdic,bank,,830748
Gibraltar Bank,Oak Ridge,NJ,7438,5527 Berkshire Valley Road,fdic,bank,www.gibraltarbanknj.com,670775
Gibsland Bank & Trust Company,Gibsland,LA,71028,1246 Third Street,fdic,bank,,734350
"Gilmer National Bank, Gilmer, Texas",Gilmer,TX,75644,713 Us Highway 271 N,fdic,bank,,323651
Glacier Bank,Kalispell,MT,59901,49 Commons Loop,fdic,bank,www.glacierbank.com,2.634191e+06
Glasford State Bank,Glasford,IL,61533,305 East Main Street,fdic,bank,www.glasfordbank.com,617538
Glen Rock Savings Bank,Glen Rock,NJ,7452,175 Rock Road,fdic,bank,,147679
Glennville Bank,Glennville,GA,30427,102 East Barnard Street,fdic,bank,http://www.glennvillebank.com,439132
Glens Falls National Bank and Trust Company,Glens Falls,NY,12801,250 Glen Street,fdic,bank,www.gfnational.com,866000
Glenview State Bank,Glenview,IL,60025,800 Waukegan Road,fdic,bank,http://www.gsb.com,750239
Glenwood State Bank,Glenwood,IA,51534,32 North Walnut Street,fdic,bank,,566243
Glenwood State Bank (Incorporated),Glenwood,MN,56334,5 East Minnesota Street,fdic,bank,,975854
Global Bank,New York,NY,10038,8 Catherine Street,fdic,bank,,3.561771e+06
GN Bank,Chicago,IL,60653,4619 S Martin L King Drive,fdic,bank,www.gnbank.net,250476
GNB Bank,Grundy Center,IA,50638,529 G Ave,fdic,bank,,724744
"GNBank, National Association",Girard,KS,66743,100 East Forest Avenue,fdic,bank,,928056
Gogebic Range Bank,Ironwood,MI,49938,155 East Cloverland Drive,fdic,bank,,3.025929e+06
Gold Coast Bank,Islandia,NY,11749,2929 Expressway Drive North,fdic,bank,,3.614369e+06
Gold Coast Bank,Chicago,IL,60610,1165 N. Clark St. Suite 200,fdic,bank,,3.593307e+06
"Golden Bank, National Association",Houston,TX,77036,9315 Bellaire Boulevard,fdic,bank,http://www.goldenbank-na.com,536059
"Golden Belt Bank, FSA",Ellis,KS,67637,901 Washington St,fdic,bank,,148171
Golden Eagle Community Bank,Woodstock,IL,60098,975 Country Club Road,fdic,bank,,3.602889e+06
"Golden Pacific Bank, National Association",Sacramento,CA,95814,1409 28th St,fdic,bank,,962966
Golden State Bank,Glendale,CA,91203,500 N Brand Blvd Suite 2300,fdic,bank,,3.224375e+06
Golden Valley Bank,Chico,CA,95926,"190 Cohasset Rd., Suite 170",fdic,bank,,3.440803e+06
Goldman Sachs Bank USA,New York,NY,10282,200 West Street,fdic,bank,www.marcus.com,2.182786e+06
"Goldwater Bank, N.A.",Phoenix,AZ,85016,"2525 E Camelback Rd, # 1100",fdic,bank,goldwaterbank.com,3.592047e+06
Goodfield State Bank,Goodfield,IL,61742,201 South Eureka Street,fdic,bank,,936837
Goppert Financial Bank,Lathrop,MO,64465,710 Oak Street,fdic,bank,,815053
Goppert State Service Bank,Garnett,KS,66032,106 East 5th Street,fdic,bank,,850456
Gorham Savings Bank,Gorham,ME,4038,64 Main Street,fdic,bank,,241607
Gouverneur Savings and Loan Association,Gouverneur,NY,13642,42 Church Street,fdic,bank,,905673
"Graham Savings and Loan, SSB",Graham,TX,76450,745 Elm Street,fdic,bank,,839974
Grand Bank,Tulsa,OK,74135,4200 East Skelly Drive,fdic,bank,,76854
"Grand Bank for Savings, FSB",Hattiesburg,MS,39402,204 Westover Drive,fdic,bank,,68671
"Grand Bank, National Association",Hamilton,NJ,8619,One Edinburg Road,fdic,bank,,3.093964e+06
Grand Marais State Bank,Grand Marais,MN,55604,211 East Highway 61,fdic,bank,,945950
"Grand Mountain Bank, FSB",Granby,CO,80446,337 East Agate Avenue,fdic,bank,,3.148033e+06
Grand Rapids State Bank,Grand Rapids,MN,55744,523 Nw 1st Avenue,fdic,bank,http://www.grsb.com,1.003558e+06
Grand Ridge National Bank,Grand Ridge,IL,61325,105 West Main Street,fdic,bank,,875132
Grand River Bank,Grandville,MI,49418,4471 Wilson Avenue,fdic,bank,,3.812147e+06
Grand Rivers Community Bank,Grand Chain,IL,62941,260 S Main St,fdic,bank,www.grandriverscommunitybank.com,226949
Grand Savings Bank,Grove,OK,74344,1022 South Main Street,fdic,bank,www.grandsavingsbank.com,732178
Grand Timber Bank,Mcgregor,MN,55760,204 North Maddy Street,fdic,bank,,918356
Grand Valley Bank,Heber City,UT,84032,2 South Main Street,fdic,bank,,178851
GrandSouth Bank,Greenville,SC,29606,381 Halton Road,fdic,bank,http://www.grandsouth.com,2.728661e+06
Grandview Bank,Grandview,TX,76050,Second And Criner Streets,fdic,bank,http://www.grandviewbank.com,333856
Granite Community Bank,Cold Spring,MN,56320,202 2nd Avenue South,fdic,bank,,311256
Granite Falls Bank,Granite Falls,MN,56241,702 Prentice Street,fdic,bank,,20857
Granite Mountain Bank Inc dba Granite Mountain Bank,Philipsburg,MT,59858,139 East Broadway St,fdic,bank,,619457
Grant County Bank,Ulysses,KS,67880,201 South Main Street,fdic,bank,,207452
Grant County Bank,Medford,OK,73759,120 South Main Street,fdic,bank,,361354
Grant County State Bank,Swayzee,IN,46986,102 North Washington Street,fdic,bank,,933340
Grant County State Bank,Carson,ND,58529,202 North Main Street,fdic,bank,www.grantcountystatebank.com,983158
"Grasshopper Bank, N.A.",New York,NY,10010,"915 Broadway, 7th Floor",fdic,bank,,5.210989e+06
Great American Bank,Lawrence,KS,66044,888a New Hampshire,fdic,bank,,2.815879e+06
"Great Midwest Bank, S.S.B.",Brookfield,WI,53005,15900 West Bluemound Road,fdic,bank,,524579
Great Nations Bank,Norman,OK,73071,2200 Alameda Street,fdic,bank,,3.599804e+06
Great North Bank,Florence,WI,54121,541 Central Avenue,fdic,bank,http://www.greatnorthbank.com,576354
Great Plains Bank,Eureka,SD,57437,702 7th Street,fdic,bank,,589158
Great Plains National Bank,Elk City,OK,73644,2017 West Third,fdic,bank,,2.482824e+06
Great Plains State Bank,Petersburg,NE,68652,140 Main Street,fdic,bank,,733559
Great Rivers Bank,Barry,IL,62312,694 Bainbridge,fdic,bank,,857941
Great Southern Bank,Reeds Spring,MO,65737,14309 State Highway 13,fdic,bank,https://www.greatsouthernbank.com,572374
Great Southern Bank,Meridian,MS,39301,218 22nd Avenue South,fdic,bank,,101738
Great Western Bank,Sioux Falls,SD,57104,225 S. Main Ave.,fdic,bank,www.greatwesternbank.com,131650
Greater Community Bank,Rome,GA,30165,1490 Martha Berry Boulevard,fdic,bank,WWW.GREATERCB.COM,2.354323e+06
Greater State Bank,Mcallen,TX,78501,3300 North 10th Street,fdic,bank,,518877
Green Belt Bank & Trust,Iowa Falls,IA,50126,616 Washington Avenue,fdic,bank,www.greenbeltbank.com,803649
Green Dot Bank DBA Bonneville Bank,Provo,UT,84601,1675 North 200 West,fdic,bank,,243375
Greene County Commercial Bank,Catskill,NY,12414,425 Main Street,fdic,bank,,3.268249e+06
"Greeneville Federal Bank, FSB",Greeneville,TN,37743,101 West Summer Street,fdic,bank,,645577
Greenfield Banking Company,Greenfield,IN,46140,1920 North State Street,fdic,bank,,592644
Greenfield Banking Company,Greenfield,TN,38230,202 Front Street,fdic,bank,,83955
Greenfield Co-operative Bank,Greenfield,MA,1301,63 Federal Street,fdic,bank,,326979
Greenfield Savings Bank,Greenfield,MA,1301,400 Main Street,fdic,bank,,632607
Greenleaf Wayside Bank,Greenleaf,WI,54126,1608 Day Street,fdic,bank,,675248
Greenville Federal,Greenville,OH,45331,690 Wagner Avenue,fdic,bank,,567679
Greenville National Bank,Greenville,OH,45331,446 South Broadway,fdic,bank,www.bankgnb.bank,295011
Greenville Savings Bank,Greenville,PA,16125,233 Main Street,fdic,bank,,357777
Grinnell State Bank,Grinnell,IA,50112,814 Fourth Avenue,fdic,bank,,783246
Grove Bank & Trust,Miami,FL,33133,2701 South Bayshore Drive,fdic,bank,www.grovebankandtrust.com,648130
Grundy Bank,Morris,IL,60450,201 Liberty Street,fdic,bank,www.grundybank.com,715144
Grundy National Bank,Grundy,VA,24614,20957 Riverside Drive,fdic,bank,www.grundynationalbank.com,268828
Gruver State Bank,Gruver,TX,79040,3 Main Avenue,fdic,bank,,339054
GSL Savings Bank,Guttenberg,NJ,7093,6823 Bergenline Ave,fdic,bank,WWW.GSLSAVINGSBANK.COM,564678
Guadalupe Bank,Kerrville,TX,78028,1309 Bandera Hwy,fdic,bank,,3.635551e+06
Guaranty Bank,Springfield,MO,65804,"2144 E Republic Rd, # F200",fdic,bank,,131173
"Guaranty Bank & Trust Company of Delhi, Louisiana",Delhi,LA,71232,Oak And Georgia Streets,fdic,bank,,969255
"Guaranty Bank & Trust, N.A.",Mount Pleasant,TX,75455,100 West Arkansas Street,fdic,bank,www.gnty.com,112163
Guaranty Bank and Trust Company,Belzoni,MS,39038,210 N. Hayden St,fdic,bank,,84541
Guaranty Bank and Trust Company,New Roads,LA,70760,175 New Roads Street,fdic,bank,,289739
Guaranty State Bank and Trust Company,Beloit,KS,67420,201 South Mill Street,fdic,bank,http://www.guarantystate.com,1.009756e+06
Guardian Bank,Valdosta,GA,31602,701 Wildwood Plantation Dr.,fdic,bank,,2.989006e+06
Guardian Savings Bank,Granite City,IL,62040,3800 Nameoki Road,fdic,bank,,823076
"Guardian Savings Bank, A Federal Savings Bank",West Chester,OH,45069,6100 West Chester Road,fdic,bank,,727174
Gulf Coast Bank,Abbeville,LA,70510,221 South State Street,fdic,bank,,459130
Gulf Coast Bank and Trust Company,New Orleans,LA,70130,200 St. Charles Avenue,fdic,bank,www.gulfbank.com,1.458608e+06
Gulfside Bank,Sarasota,FL,34236,333 North Orange Avenue,fdic,bank,,5.303724e+06
Gunnison Savings and Loan Association,Gunnison,CO,81230,303 North Main St,fdic,bank,,388874
Guthrie County State Bank,Panora,IA,50216,505 East Main Street,fdic,bank,,969844
Gwinnett Community Bank,Duluth,GA,30096,2775 Buford Highway,fdic,bank,http://www.gwinnettcommunitybank.com,2.853358e+06
H. F. Gehant Banking Co.,West Brooklyn,IL,61378,2514 Johnson Street,fdic,bank,,274641
Habib American Bank,New York,NY,10016,99 Madison Avenue,fdic,bank,www.habbank.com,245016
Haddon Savings Bank,Haddon Heights,NJ,8035,201 White Horse Pike,fdic,bank,,1.008076e+06
Hamlin Bank and Trust Company,Smethport,PA,16749,333 West Main Street,fdic,bank,,291611
Hancock Bank & Trust Company,Hawesville,KY,42348,220 Main Street,fdic,bank,,545846
"Hancock County Savings Bank, F.S.B.",Chester,WV,26034,351 Carolina Avenue,fdic,bank,,888271
Hancock Whitney Bank,Gulfport,MS,39501,2510 14th Street,fdic,bank,www.hancockwhitney.com,463735
Hanmi Bank,Los Angeles,CA,90010,"3660 Wilshire Blvd, # Ph-A",fdic,bank,http://www.hanmi.com,657365
Hanover Community Bank,Garden City Park,NY,11040,2131 Jericho Turnpike,fdic,bank,,3.793714e+06
Happy State Bank,Happy,TX,79042,100 East Main Street,fdic,bank,www.happybank.com,466857
HarborOne Bank,Brockton,MA,2301,68 Legion Parkway,fdic,bank,www.harborone.com,40499
Hardin County Savings Bank,Eldora,IA,50627,1202 Edgington Avenue,fdic,bank,www.hardincsb.com,647245
Harford Bank,Aberdeen,MD,21001,8 West Bel Air Avenue,fdic,bank,www.harfordbank.com,660927
Harleysville Bank,Harleysville,PA,19438,271 Main Street,fdic,bank,,139478
Hart County Bank and Trust Company,Munfordville,KY,42765,331 Main Street,fdic,bank,,456344
Hartsburg State Bank,Hartsburg,IL,62643,101 North 2nd Street,fdic,bank,,799939
Harvest Bank,Kimball,MN,55353,75 North Main Street,fdic,bank,www.harvestbankmn.com,28152
Harwood State Bank,Harwood,ND,58042,501 Dakota Avenue,fdic,bank,,813059
Haskell National Bank,Haskell,TX,79521,601 North First Street,fdic,bank,,170257
"Hatboro Federal Savings, FA",Hatboro,PA,19040,221 South York Road,fdic,bank,,995272
Hatch Bank,San Marcos,CA,92078,1001 West San Marcos Blvd,fdic,bank,,733661
Haven Savings Bank,Hoboken,NJ,7030,621 Washington Street,fdic,bank,,918477
Haverhill Bank,Haverhill,MA,1830,180 Merrimack Street,fdic,bank,,109574
Hawaii National Bank,Honolulu,HI,96817,"45 N. King St., 7th Fl.",fdic,bank,,915065
Hawthorn Bank,Jefferson City,MO,65101,132 East High Street,fdic,bank,www.hawthornbank.com,508346
Headwaters State Bank,Land O Lakes,WI,54540,4175 County Highway B,fdic,bank,,224954
Heartland Bank,Whitehall,OH,43213,430 North Hamilton Road,fdic,bank,www.heartland.bank,853112
Heartland Bank,Geneva,NE,68361,896 G Street,fdic,bank,,88455
Heartland Bank,Somers,IA,50586,615 Sixth Avenue,fdic,bank,,604547
Heartland Bank and Trust Company,Bloomington,IL,61702,401 North Hershey Road,fdic,bank,http://www.hbtbank.com,426534
Heartland National Bank,Sebring,FL,33870,320 U.S. Highway 27 North,fdic,bank,,2.800491e+06
Heartland State Bank,Edgeley,ND,58433,401 Main Street,fdic,bank,,837653
Heartland State Bank,Redfield,SD,57469,302 East 7th Avenue,fdic,bank,,135854
Heartland Tri-State Bank,Elkhart,KS,67950,601 Morton Street,fdic,bank,,833758
Hebron Savings Bank,Hebron,MD,21830,101 North Main Street,fdic,bank,http://www.hebronsavingsbank.com,780722
Helm Bank USA,Miami,FL,33131,999 Brickell Avenue,fdic,bank,http://www.helmbankusa.com,1.414819e+06
Henderson Federal Savings Bank,Henderson,TX,75652,130 North Marshall Street,fdic,bank,,849076
Henderson State Bank,Henderson,NE,68371,1040 North Main Street,fdic,bank,,97055
Hendricks County Bank and Trust Company,Brownsburg,IN,46112,1 East Main Street,fdic,bank,,633640
Heritage Bank,Marion,IA,52302,695 Marion Boulevard,fdic,bank,,225942
Heritage Bank,Olympia,WA,98501,"201 5th Avenue, S.W.",fdic,bank,www.heritagebanknw.com,881478
Heritage Bank,Wood River,NE,68883,110 E 9th Street,fdic,bank,,666554
Heritage Bank,Topeka,KS,66614,3024 Southwest Wanamaker Rd,fdic,bank,www.heritagebankonline.com,3.120897e+06
Heritage Bank,Jonesboro,GA,30236,101 North Main St,fdic,bank,,628178
Heritage Bank,Pearland,TX,77581,1850 Pearland Parkway,fdic,bank,,574051
Heritage Bank & Trust,Columbia,TN,38401,217 S James M Campbell Blvd,fdic,bank,,3.429219e+06
Heritage Bank Minnesota,West Concord,MN,55985,181 Main Street,fdic,bank,,777254
Heritage Bank National Association,Spicer,MN,56288,110 W South St,fdic,bank,,901358
Heritage Bank of Commerce,San Jose,CA,95113,150 Almaden Boulevard,fdic,bank,w w w .heritagebankofcommerce.com,2.209553e+06
Heritage Bank of Nevada,Reno,NV,89502,2330 South Virginia Street,fdic,bank,,2.349301e+06
Heritage Bank of Schaumburg,Schaumburg,IL,60194,1535 Schaumburg Road,fdic,bank,,337340
Heritage Bank of St Tammany,Covington,LA,70433,205 North Columbia Street,fdic,bank,,194570
Heritage Bank of the Ozarks,Lebanon,MO,65536,1475 South Jefferson,fdic,bank,,3.199811e+06
"Heritage Bank USA, Inc.",Hopkinsville,KY,42240,4155 Lafayette Rd,fdic,bank,,986672
"Heritage Bank, Inc.",Erlanger,KY,41018,456 Commonwealth Avenue,fdic,bank,www.heritagebank-ky.com,1.469677e+06
Heritage Community Bank,Greeneville,TN,37745,114 West Church Street,fdic,bank,https://www.hcbonline.us,3.224478e+06
Heritage Community Bank,Chamois,MO,65024,First And Main,fdic,bank,http://www.hcbanks.com,499743
Heritage First Bank,Rome,GA,30161,501 Broad Street,fdic,bank,http://www.heritagefirstbank.com,318947
Heritage State Bank,Lawrenceville,IL,62439,2201 James Street,fdic,bank,,912578
Herring Bank,Amarillo,TX,79101,2201 Civic Circle,fdic,bank,,610164
"Hertford Savings Bank, SSB",Hertford,NC,27944,121 North Church Street,fdic,bank,,971379
Hiawatha Bank and Trust Company,Hiawatha,IA,52233,777 North Center Point Road,fdic,bank,,2.536633e+06
Hiawatha National Bank,Hager City,WI,54014,N 1555 770th Street,fdic,bank,,505550
Hibernia Bank,New Orleans,LA,70130,325 Carondelet St,fdic,bank,,872579
Hickory Point Bank and Trust,Decatur,IL,62523,225 North Water Street,fdic,bank,,550635
High Country Bank,Salida,CO,81201,7360 West Us Highway 50,fdic,bank,,479370
High Plains Bank,Flagler,CO,80815,329 Main Avenue,fdic,bank,https://www.highplainsbank.com,247551
High Plains Bank,Okeene,OK,73763,202 North Main Street,fdic,bank,,881852
Highland Bank,Saint Michael,MN,55376,701 Central Avenue East,fdic,bank,,764058
Highland Federal Savings and Loan Association,Crossville,TN,38555,"106 S. Main St, Suite 103",fdic,bank,,652070
Highland State Bank,Highland,WI,53543,541 North Main Street,fdic,bank,,681249
Highlands Community Bank,Covington,VA,24426,307 Thacker Avenue,fdic,bank,,3.125315e+06
Highlands Union Bank,Abingdon,VA,24210,340 West Main Street,fdic,bank,,969424
Highpoint Community Bank,Hastings,MI,49058,150 West Court Street,fdic,bank,,750341
Hill Bank & Trust Co.,Weimar,TX,78962,201 East Main Street,fdic,bank,,554268
Hills Bank and Trust Company,Hills,IA,52235,131 Main Street,fdic,bank,http://www.hillsbank.com,731247
Hillsboro Bank,Plant City,FL,33566,509 West Alexander Street,fdic,bank,,2.710554e+06
Hillsboro State Bank,Hillsboro,KS,67063,200 North Main Street,fdic,bank,,592859
Hillsdale County National Bank,Hillsdale,MI,49242,1 South Howell Street,fdic,bank,,682143
Hilltop National Bank,Casper,WY,82601,300 Country Club,fdic,bank,,1454
Hingham Institution for Savings,Hingham,MA,2043,55 Main Street,fdic,bank,www.hinghamsavings.com,673909
Hinsdale Bank & Trust Company,Hinsdale,IL,60521,25 East First Street,fdic,bank,www.hinsdalebank.com,2.119773e+06
HNB First Bank,Headland,AL,36345,40 Main Street,fdic,bank,http://www.hnbfirst.com,117038
HNB National Bank,Hannibal,MO,63401,100 North Main Street,fdic,bank,,908553
Hodge Bank & Trust Company,Hodge,LA,71247,4619 Quitman Highway,fdic,bank,,931355
Holcomb Bank,Rochelle,IL,61068,233 E. Il Route 38,fdic,bank,,568135
Holladay Bank & Trust,Salt Lake City,UT,84117,2020 East 4800 South Street,fdic,bank,http://www.holladaybank.com,617275
Holmes County Bank & Trust Company,Lexington,MS,39095,316 Court Square,fdic,bank,,725741
Home Bank and Trust Company,Eureka,KS,67045,217 North Main Street,fdic,bank,,840251
Home Bank of Arkansas,Portland,AR,71663,113 Highway 165 South,fdic,bank,http://www.homebankofar.com,596642
Home Bank of California,San Diego,CA,92123,4493 Ruffin Road,fdic,bank,,118660
Home Bank SB,Martinsville,IN,46151,59 West Washington Street,fdic,bank,www.homebanksb.com,1.01527e+06
"Home Bank, National Association",Lafayette,LA,70508,503 Kaliste Saloom,fdic,bank,www.home24bank.com,929978
Home Banking Company,Selmer,TN,38375,795 Poplar Avenue,fdic,bank,,138556
Home Exchange Bank,Jamesport,MO,64648,220 South Broadway,fdic,bank,,852357
Home Federal Bank,Shreveport,LA,71105,222 Florida St,fdic,bank,,804374
Home Federal Bank Corporation,Middlesboro,KY,40965,1602-08 E. Cumberland Ave.,fdic,bank,,902672
Home Federal Bank of Hollywood,Hallandale Beach,FL,33009,900 North Federal Highway,fdic,bank,,2.728746e+06
Home Federal Bank of Tennessee,Knoxville,TN,37901,515 Market Street,fdic,bank,www.homefederalbanktn.com,105473
Home Federal Savings and Loan Association,Bamberg,SC,29003,2990 Main Highway,fdic,bank,,582878
Home Federal Savings and Loan Association of Grand Island,Grand Island,NE,68801,221 South Locust Street,fdic,bank,www.homefederalne.com,317379
Home Federal Savings and Loan Association of Niles,Niles,OH,44446,55 North Main Street,fdic,bank,,71073
Home Federal Savings Bank,Rochester,MN,55901,1016 Civic Center Drive,fdic,bank,,796572
"Home Loan Investment Bank, F.S.B.",Warwick,RI,2886,"1 Home Loan Plaza, Suite 3",fdic,bank,,724904
Home Loan State Bank,Grand Junction,CO,81501,205 N. 4th Street,fdic,bank,,499154
Home National Bank,Racine,OH,45771,209 Third Street,fdic,bank,www.homenatlbank.com,79127
"Home Savings and Loan Association of Carroll County, F.A.",Norborne,MO,64668,210 E Second Street,fdic,bank,,612878
Home Savings Bank,Madison,WI,53703,3762 E. Washington Avenue,fdic,bank,,255873
Home Savings Bank,Salt Lake City,UT,84165,3539 South Main Street,fdic,bank,,460770
Home Savings Bank,Youngstown,OH,44503,275 West Federal Street,fdic,bank,www.homesavings.com,932277
Home Savings Bank,Chanute,KS,66720,214 N. Lincoln Ave.,fdic,bank,,765877
Home Savings Bank of Wapakoneta,Wapakoneta,OH,45895,1 South Blackhoof Street,fdic,bank,,868572
"Home Savings Bank, FSB",Ludlow,KY,41016,202 Elm Street,fdic,bank,,33370
Home State Bank,Jefferson,IA,50129,115 West State Street,fdic,bank,www.hsbankiowa.com,653947
Home State Bank,Royal,IA,51357,Third And Main,fdic,bank,,472045
Home State Bank,Litchfield,MN,55355,1435 East Highway 12,fdic,bank,www.hsbofmn.com,983550
"Home State Bank, National Association",Crystal Lake,IL,60014,40 Grant Street,fdic,bank,,696430
HomeBank,Palmyra,MO,63461,400 South Main Street,fdic,bank,,697156
HomeBank Texas,Seagoville,TX,75159,601 North Highway 175,fdic,bank,,522669
Homeland Community Bank,Mcminnville,TN,37110,900 North Chancery Street,fdic,bank,,3.223408e+06
Homeland Federal Savings Bank,Columbia,LA,71418,7840 Us Highway 165 South,fdic,bank,,251978
HomePride Bank,Mansfield,MO,65704,110 East Commercial,fdic,bank,http://www.homepridebank.com,747051
HomeStar Bank and Financial Services,Manteno,IL,60950,303 Section Line Road,fdic,bank,,300036
Homestead Bank,Cozad,NE,69130,915 Meridian Avenue,fdic,bank,,140157
Homestead Savings Bank,Albion,MI,49224,415 South Superior Street,fdic,bank,,132778
HomeStreet Bank,Seattle,WA,98101,"601 Union St., Suite 2000",fdic,bank,WWW.HOMESTREET.COM,258771
HomeTown  Bank,Redwood Falls,MN,56283,1000 East Cook St,fdic,bank,,788773
Hometown Bank,Fond Du Lac,WI,54935,80 Sheboygan Street,fdic,bank,,63742
Hometown Bank,Kent,OH,44240,142 North Water Street,fdic,bank,,940674
Hometown Bank,Oxford,MA,1540,31 Sutton Avenue,fdic,bank,www.hometowncoop.com,1.00447e+06
"Hometown Bank of Corbin, Inc.",Corbin,KY,40702,1030 Cumberland Falls Hwy,fdic,bank,,2.897633e+06
Hometown Bank of Pennsylvania,Bedford,PA,15522,638 East Pitt Street,fdic,bank,www.hometownbankpa.com,3.594087e+06
"HomeTown Bank, National Association",Galveston,TX,77552,1801 45th Street,fdic,bank,,393953
Hometown Community Bank,Cyrus,MN,56323,100 East Main Street,fdic,bank,,156457
Hometown National Bank,La Salle,IL,61301,260 Bucklin Street,fdic,bank,www.myhtnb.com,770639
HomeTrust Bank,Asheville,NC,28801,10 Woodfin Street,fdic,bank,www.htb.com,212577
Homewood Federal Savings Bank,Baltimore,MD,21224,3228-30 Eastern Ave,fdic,bank,,359472
Honor  Bank,Honor,MI,49640,2254 Henry Street,fdic,bank,,815147
Hoosier Heartland State Bank,Crawfordsville,IN,47933,1400 Darlington Avenue,fdic,bank,,157744
Horatio State Bank,Horatio,AR,71842,Pride And Main,fdic,bank,,458142
Horicon Bank,Horicon,WI,53032,326 East Lake Street,fdic,bank,,528849
Horizon Bank,Michigan City,IN,46360,515 Franklin Street,fdic,bank,www.horizonbank.com,130541
Horizon Bank,Waverly,NE,68462,10841 North 142nd,fdic,bank,,663955
"Horizon Bank, SSB",Austin,TX,78701,"600 Congress Ave, Suite 400",fdic,bank,www.horizonbanktexas.com,703552
Horizon Community Bank,Lake Havasu City,AZ,86403,225 N. Lake Havasu Avenue,fdic,bank,,3.15478e+06
Horizon Financial Bank,Munich,ND,58352,416 Main Street,fdic,bank,,877350
Houghton State Bank,Red Oak,IA,51566,116 East Coolbaugh Street,fdic,bank,,528241
Howard Bank,Baltimore,MD,21224,3301 Boston Street,fdic,bank,,3.282852e+06
Hoyne Savings Bank,Chicago,IL,60630,4786 Milwaukee Avenue,fdic,bank,,447070
